"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2114","При добавлении соуса счетчик увеличивается на 1","tests","2026-03-15","passed","2026-03-15","TestMainFunctionality","test_main_functionality","",""
"","6486","Номер заказа появляется в разделе 'В работе'","tests","2026-03-15","passed","2026-03-15","TestOrderFeed","test_order_feed","",""
"","1488","Счетчик 'Выполнено за сегодня' увеличивается","tests","2026-03-15","passed","2026-03-15","TestOrderFeed","test_order_feed","",""
"","752","Переход по клику на «Лента заказов»","tests","2026-03-15","passed","2026-03-15","TestMainFunctionality","test_main_functionality","",""
"","2007","Счетчик 'Выполнено за всё время' увеличивается","tests","2026-03-15","passed","2026-03-15","TestOrderFeed","test_order_feed","",""
"","10119","Модальное окно закрывается по крестику","tests","2026-03-15","passed","2026-03-15","TestMainFunctionality","test_main_functionality","",""
"","6427","Номер заказа появляется в разделе 'В работе'","tests","2026-03-15","passed","2026-03-15","TestOrderFeed","test_order_feed","",""
"","2114","При добавлении булки счетчик увеличивается на 2","tests","2026-03-15","passed","2026-03-15","TestMainFunctionality","test_main_functionality","",""
"","1936","Счетчик 'Выполнено за сегодня' увеличивается","tests","2026-03-15","passed","2026-03-15","TestOrderFeed","test_order_feed","",""
"","591","Переход по клику на «Лента заказов»","tests","2026-03-15","passed","2026-03-15","TestMainFunctionality","test_main_functionality","",""
"","2070","При добавлении булки счетчик увеличивается на 2","tests","2026-03-15","passed","2026-03-15","TestMainFunctionality","test_main_functionality","",""
"","63","Переход по клику на «Конструктор»","tests","2026-03-15","passed","2026-03-15","TestMainFunctionality","test_main_functionality","",""
"","37","Клик на ингредиент открывает модальное окно","tests","2026-03-15","passed","2026-03-15","TestMainFunctionality","test_main_functionality","",""
"","10160","Модальное окно закрывается по крестику","tests","2026-03-15","passed","2026-03-15","TestMainFunctionality","test_main_functionality","",""
"","1255","Счетчик 'Выполнено за всё время' увеличивается","tests","2026-03-15","passed","2026-03-15","TestOrderFeed","test_order_feed","",""
"","56","Переход по клику на «Конструктор»","tests","2026-03-15","passed","2026-03-15","TestMainFunctionality","test_main_functionality","",""
"","2069","При добавлении соуса счетчик увеличивается на 1","tests","2026-03-15","passed","2026-03-15","TestMainFunctionality","test_main_functionality","",""
"","101","Клик на ингредиент открывает модальное окно","tests","2026-03-15","passed","2026-03-15","TestMainFunctionality","test_main_functionality","",""
